time_days,ef_nuv,uv_dose_erg_cm2,cumul_uv_dose,population_factor,co_vmr_abiotic,co_vmr_biotic,ch4_biogenic_vmr
0.5816193103294355,275.8357653402257,5487.960026605964,5487.960026605964,0.999998902408597,1e-07,3.0001064663660923e-09,1.1632373438981611e-11
1.7942537775749776,56.472836827882254,736.7610699516545,6224.721096557619,0.9999987568782982,1e-07,3.000120582805077e-09,2.425265919586639e-11
2.434608930867213,25.861362661063268,182.80555813887432,6407.526654696493,0.9999987214072195,1e-07,3.000124023499717e-09,1.2807086690775187e-11
4.605916593436215,4483.802168507622,223310.13357600328,229717.66023069978,0.9999540642321599,1e-07,3.0044557694804852e-09,4.3424158437686103e-11
7.113781001275698,631.2030900976828,9504.874611392113,239222.5348420919,0.9999523208844534,1e-07,3.004624874208017e-09,5.015489670165212e-11
9.0478758093419,459.94092684693913,7343.445919244474,246565.98076133637,0.9999509784221846,1e-07,3.004755093048095e-09,3.867999991374131e-11
11.040446205135474,44.91872380306404,329.6665257692752,246895.64728710565,0.9999510461164286,1e-07,3.0047485267064243e-09,3.984945703468822e-11
11.043962852084938,348.21172951819716,3343.7012672161322,250239.34855432177,0.9999503776449622,1e-07,3.0048133684386747e-09,7.032944890321211e-14
12.032656114340304,219.02474354252266,1951.8343110278233,252191.1828653496,0.9999500544592735,1e-07,3.0048447174504723e-09,1.977287762871539e-11
12.740470543654542,1162.622652297645,32876.18970279232,285067.3725681419,0.9999435279752,1e-07,3.0054777864055968e-09,1.4155489152004646e-11
13.19086067270861,163.80391129386288,1980.9244071128226,287048.2969752547,0.9999431666437127,1e-07,3.0055128355598646e-09,9.007290637427893e-12
15.792747995533558,172.5777824260238,3036.5621682078804,290084.8591434626,0.9999427615723956,1e-07,3.0055521274776285e-09,5.2034767897715724e-11
16.952189152742807,35.40134563445844,329.0446959294721,290413.90383939206,0.9999427866054578,1e-07,3.0055496992706043e-09,2.318749643289747e-11
18.48121938336192,232.8091256131578,1857.255954358406,292271.15979375044,0.9999425348871277,1e-07,3.005574115948617e-09,3.057884729448652e-11
22.22932746973773,138.21958326749544,1480.0708516751276,293751.23064542556,0.9999425331823387,1e-07,3.00557428131315e-09,7.495785389063666e-11
23.193906863568007,34.209113914873825,239.87486949909047,293991.1055149246,0.9999425610932733,1e-07,3.0055715739524925e-09,1.929047978888889e-11
23.819455042682247,196.9520535857124,3520.010908643193,297511.1164235678,0.9999419063309378,1e-07,3.0056350858990385e-09,1.2510236774506804e-11
24.012057746946365,221.94588317469075,2640.0501023992356,300151.16652596707,0.9999413936770951,1e-07,3.0056848133217737e-09,3.851828330556792e-12
30.10067686162212,95.69903971097632,1418.5724914659781,301569.739017433,0.999941596756683,1e-07,3.005665114601752e-09,1.217652703914427e-10
32.10456205376557,249.0578105272217,2190.302672075987,303760.041689509,0.9999413188216355,1e-07,3.005692074301358e-09,4.007535203598135e-11
32.27376285424626,2656.088974796151,120619.73899522387,424379.7806847329,0.9999172101797531,1e-07,3.0080306125639497e-09,3.383735847536611e-12
34.50067374935663,855.4643395456571,19802.94944655984,444182.7301312927,0.9999135020953288,1e-07,3.008390296753105e-09,4.45343654396811e-11
35.24634577034843,232.265157903684,3631.0959356491467,447813.82606694184,0.999912864248934,1e-07,3.0084521678534037e-09,1.4912140926003988e-11
36.25434626752886,128.87712111077965,1001.9369602405491,448815.7630271824,0.9999127841149817,1e-07,3.0084599408467748e-09,2.0158251670499447e-11
36.488301189859605,164.64005947581586,1601.7397211068042,450417.5027482892,0.9999124917420279,1e-07,3.0084883010232932e-09,4.678688986860972e-12
37.21660028530747,117.43054872889518,831.4379843825641,451248.94073267176,0.9999124127298091,1e-07,3.008495965208513e-09,1.456470611436427e-11
39.58253723316572,24.010711364150126,175.5932138397609,451424.5339465115,0.9999126610258913,1e-07,3.00847188048855e-09,4.731460618704839e-11
43.73277265198167,164.5455668279359,2118.779234290226,453543.31318080175,0.9999127324423676,1e-07,3.0084649530903506e-09,8.299746475814692e-11
44.00554003496099,53.712541239092474,767.21226931094,454310.5254501127,0.9999126116150873,1e-07,3.0084766733365354e-09,5.4548709255652425e-12
44.17736569888767,1328.355244683026,57230.90016473589,511541.4256148486,0.9999011870674334,1e-07,3.0095848544589685e-09,3.4361737065787964e-12
44.65365241201392,68.05590974252723,578.3461964809974,512119.7718113296,0.9999011358588518,1e-07,3.0095898216913827e-09,9.52479250898832e-12
44.93055448027861,38.48238792304539,335.4581873418841,512455.22999867145,0.999901106267674,1e-07,3.0095926920356228e-09,5.5374936877134035e-12
49.792324856392185,37.85602511283155,361.79248671819016,512817.02248538967,0.9999016903561738,1e-07,3.0095360354511436e-09,9.72258483439907e-11
50.14274728004668,116.89158849051991,904.8966150031031,513721.9191003928,0.9999015565749746,1e-07,3.0095490122274635e-09,7.007758537418051e-12
52.29140466342471,32.46420076742233,236.44433540461455,513958.3634357974,0.9999017986197983,1e-07,3.0095255338795645e-09,4.2968927645148025e-11
52.48076968586361,335.7909778465342,3307.169682988366,517265.53311878577,0.9999011627215583,1e-07,3.0095872160088463e-09,3.7869261223091274e-12
52.52321767077054,119.72712882324815,951.0234628225287,518216.5565816083,0.9999009782826975,1e-07,3.009605106578339e-09,8.488756326913412e-13
52.80383398144726,130.00285118410554,1634.884372640446,519851.44095424877,0.9999006893954595,1e-07,3.009633128640432e-09,5.611768850025257e-12
55.00930963114115,159.92372093504204,1510.9371090145714,521362.3780632633,0.9999006868223741,1e-07,3.0096333782297146e-09,4.4105132337978804e-11
55.70806491148047,70.14778561672678,1262.045087167536,522624.42315043084,0.9999005294554254,1e-07,3.0096486428237365e-09,1.3973715495421205e-11
57.06638869711957,569.3444168619895,7587.600734022138,530212.023884453,0.9998991970015921,1e-07,3.009777890845566e-09,2.716373725057399e-11
60.43490973586602,103.14588666684652,871.6388350513226,531083.6627195043,0.999899486766396,1e-07,3.0097497836595985e-09,6.736364915608767e-11
61.677593450735465,669.2301452197157,12179.871072069358,543263.5337915737,0.9998972219983528,1e-07,3.0099694661597785e-09,2.4851119886410987e-11
61.927958519406666,79.54592762085792,1319.949314240183,544583.4831058139,0.9998969932789484,1e-07,3.009991651942001e-09,5.00678558772822e-12
62.16702582266893,114.9310152919003,1034.8504045806849,545618.3335103946,0.9998968200582932,1e-07,3.0100084543455693e-09,4.7808527262370516e-12
64.30761038861674,102.4498055847513,849.7843923859057,546468.1179027804,0.9998969522310843,1e-07,3.0099956335848274e-09,4.2807279669682165e-11
67.41884278818512,523.4023401145638,6761.5213934930025,553229.6392962735,0.999896038317606,1e-07,3.010084283192227e-09,6.221817901227603e-11
